Date,Number of patient,Treatment,Drug,Insurance avg Cost,Patient avg Cost
4/13/2016,7,T45,D19,282,542
4/13/2016,128,T8,D89,243,418
4/13/2016,59,T26,D36,429,480
4/13/2016,31,T2,D14,319,631
4/13/2016,191,T1,D11,216,439
4/13/2016,109,T14,D28,477,719
4/13/2016,86,T20,D8,236,771
4/13/2016,110,T7,D73,289,433
4/13/2016,32,T41,D54,489,269
4/13/2016,146,T40,D28,350,472
4/13/2016,92,T35,D52,452,715
4/13/2016,110,T97,D38,524,291
4/13/2016,73,T75,D7,746,778
4/13/2016,103,T43,D86,224,791
4/13/2016,95,T43,D5,795,742
4/13/2016,49,T90,D88,593,327
4/13/2016,82,T38,D7,353,666
4/13/2016,160,T72,D11,539,474
4/13/2016,32,T79,D65,266,440
4/13/2016,199,T32,D11,530,756
4/13/2016,69,T77,D89,717,288
4/13/2016,14,T46,D32,706,477
4/13/2016,109,T9,D23,731,590
4/13/2016,88,T96,D2,391,299
4/13/2016,85,T96,D82,415,328
4/13/2016,97,T37,D22,329,455
4/13/2016,147,T26,D74,388,490
4/13/2016,105,T34,D87,517,345
4/13/2016,172,T5,D69,396,359
4/13/2016,14,T45,D82,276,429
4/13/2016,168,T44,D84,528,676
4/13/2016,29,T39,D76,680,375
4/13/2016,119,T53,D23,744,353
4/13/2016,21,T72,D16,686,527
4/13/2016,4,T18,D18,205,391
4/13/2016,114,T20,D99,242,412
4/13/2016,153,T100,D4,550,240
4/13/2016,98,T2,D62,431,299
4/13/2016,148,T100,D27,262,766
4/13/2016,5,T63,D24,422,655
4/13/2016,103,T75,D22,618,678
4/13/2016,129,T23,D63,550,218
4/13/2016,11,T50,D36,576,411
4/13/2016,159,T40,D94,512,444
4/13/2016,189,T12,D57,202,451
4/13/2016,20,T66,D48,633,719
4/12/2016,163,T52,D90,547,379
4/12/2016,4,T74,D75,256,601
4/12/2016,145,T75,D56,424,284
4/12/2016,44,T66,D86,598,230
4/12/2016,143,T79,D87,627,760
4/12/2016,137,T19,D27,600,420
4/12/2016,4,T16,D19,444,736
4/12/2016,184,T32,D71,516,421
4/12/2016,163,T39,D31,566,327
4/12/2016,66,T91,D87,529,537
4/12/2016,134,T52,D53,519,346
4/12/2016,36,T32,D83,669,525
4/12/2016,5,T95,D79,749,670
4/12/2016,40,T52,D19,237,627
4/12/2016,42,T80,D2,668,244
4/12/2016,151,T58,D30,518,612
4/12/2016,164,T3,D5,398,663
4/12/2016,54,T45,D3,503,530
4/12/2016,79,T5,D63,658,609
4/12/2016,1,T24,D72,438,320
4/12/2016,55,T91,D55,605,257
4/12/2016,125,T36,D11,381,432
4/12/2016,173,T27,D20,621,333
4/12/2016,24,T82,D36,278,529
4/12/2016,81,T27,D77,310,366
4/12/2016,39,T59,D24,229,648
4/12/2016,70,T89,D53,638,609
4/12/2016,111,T66,D58,532,258
4/12/2016,80,T26,D19,560,630
4/12/2016,186,T78,D52,654,415
4/12/2016,187,T53,D20,644,282
4/12/2016,183,T44,D25,404,584
4/12/2016,115,T45,D8,437,208
4/12/2016,77,T48,D51,650,244
4/12/2016,38,T67,D66,225,746
4/12/2016,132,T15,D94,777,262
4/12/2016,64,T30,D4,313,622
4/12/2016,40,T81,D54,667,419
4/12/2016,123,T76,D38,384,739
4/12/2016,54,T30,D77,771,459
4/12/2016,69,T3,D33,247,443
4/12/2016,55,T20,D93,353,223
4/12/2016,96,T98,D71,248,788
4/12/2016,74,T51,D10,615,416
4/12/2016,16,T46,D76,330,519
4/12/2016,12,T77,D46,574,284
4/12/2016,191,T25,D30,556,693
4/12/2016,38,T72,D84,228,218
4/12/2016,114,T55,D5,299,362
4/12/2016,181,T38,D92,385,410
4/12/2016,170,T98,D77,542,209
4/12/2016,194,T63,D34,789,320
4/12/2016,69,T57,D66,744,355
4/12/2016,151,T52,D82,694,387
4/12/2016,37,T94,D79,679,661
4/12/2016,62,T40,D55,359,542
4/12/2016,70,T63,D69,786,220
4/12/2016,85,T13,D89,544,555
4/12/2016,156,T82,D79,334,772
4/12/2016,29,T50,D72,331,221
4/12/2016,186,T85,D33,207,282
4/12/2016,95,T86,D40,524,507
4/12/2016,140,T44,D71,461,698
4/12/2016,57,T12,D11,294,355
4/12/2016,188,T92,D96,561,588
4/12/2016,91,T52,D50,773,658
4/12/2016,99,T43,D70,330,747
4/12/2016,44,T52,D79,302,741
4/12/2016,65,T96,D30,464,329
4/12/2016,70,T82,D10,780,226
4/12/2016,2,T67,D79,736,452
4/12/2016,45,T40,D81,493,299
4/12/2016,98,T18,D62,783,569
4/12/2016,141,T77,D27,268,440
4/12/2016,140,T46,D26,500,794
4/12/2016,141,T83,D28,492,407
4/12/2016,172,T7,D31,551,434
4/12/2016,68,T87,D60,546,795
4/12/2016,110,T17,D8,219,362
4/12/2016,195,T22,D71,703,757
4/12/2016,29,T14,D49,465,393
4/12/2016,109,T40,D31,531,482
4/12/2016,105,T24,D96,242,200
4/12/2016,165,T78,D86,381,385
4/12/2016,72,T46,D39,530,256
4/12/2016,76,T55,D13,293,557
4/12/2016,112,T67,D6,397,564
4/12/2016,180,T80,D45,305,211
4/12/2016,191,T86,D89,610,507
4/12/2016,112,T33,D28,553,359
4/12/2016,102,T70,D20,495,272
4/12/2016,160,T19,D85,254,587
4/12/2016,106,T99,D56,399,201
4/12/2016,49,T5,D18,668,574
4/12/2016,36,T63,D49,266,739
4/12/2016,70,T64,D3,319,270
4/12/2016,106,T12,D66,556,739
4/12/2016,197,T98,D12,766,633
4/12/2016,198,T76,D24,738,722
4/12/2016,79,T57,D39,596,360
4/12/2016,159,T28,D27,221,567
4/12/2016,41,T40,D34,299,343
4/12/2016,199,T65,D97,585,222
4/12/2016,188,T82,D84,799,245
4/12/2016,95,T13,D88,248,781
4/12/2016,148,T92,D26,560,205
4/12/2016,141,T25,D72,727,392
4/12/2016,109,T65,D81,655,785
4/12/2016,119,T60,D41,349,622
4/11/2016,21,T18,D97,690,612
4/11/2016,34,T93,D94,330,686
4/11/2016,145,T32,D88,410,226
4/11/2016,193,T5,D96,400,308
4/11/2016,194,T75,D2,425,270
4/11/2016,187,T35,D15,408,676
4/11/2016,103,T84,D16,403,637
4/11/2016,81,T55,D73,627,580
4/11/2016,68,T48,D18,608,579
4/11/2016,56,T1,D77,317,443
4/11/2016,11,T77,D40,625,640
4/11/2016,55,T18,D87,212,695
4/11/2016,71,T62,D9,500,550
4/11/2016,102,T88,D49,506,628
4/11/2016,19,T72,D93,695,562
4/11/2016,21,T31,D59,366,234
4/11/2016,114,T7,D73,480,674
4/11/2016,196,T57,D47,513,737
4/11/2016,96,T18,D25,536,723
4/11/2016,122,T59,D18,502,435
4/11/2016,118,T61,D44,773,321
4/11/2016,3,T35,D100,416,438
4/11/2016,146,T79,D65,346,277
4/11/2016,128,T2,D31,596,675
4/11/2016,113,T29,D42,430,479
4/11/2016,119,T43,D43,265,782
4/11/2016,82,T1,D20,681,239
4/11/2016,97,T8,D9,486,673
4/11/2016,8,T43,D53,683,235
4/11/2016,155,T59,D48,599,797
4/11/2016,173,T42,D35,586,618
4/11/2016,200,T95,D60,455,537
4/11/2016,178,T98,D64,387,357
4/11/2016,167,T96,D8,612,414
4/11/2016,39,T50,D29,623,368
4/11/2016,99,T99,D93,244,247
4/11/2016,7,T69,D39,512,496
4/11/2016,156,T12,D97,222,204
4/11/2016,30,T26,D31,619,646
4/11/2016,176,T98,D70,338,313
4/11/2016,191,T95,D57,705,480
4/11/2016,87,T70,D76,523,225
4/11/2016,184,T92,D68,394,671
4/11/2016,28,T50,D33,611,630
4/11/2016,172,T84,D84,798,324
4/11/2016,162,T93,D5,698,725
4/11/2016,182,T62,D53,262,266
4/11/2016,199,T7,D6,780,359
4/11/2016,166,T71,D100,694,229
4/11/2016,139,T81,D81,457,440
4/11/2016,81,T50,D24,386,223
4/11/2016,104,T85,D88,259,675
4/11/2016,145,T6,D69,276,778
4/11/2016,131,T35,D18,723,353
4/11/2016,129,T48,D9,348,546
4/11/2016,155,T43,D22,698,656
4/11/2016,54,T43,D93,392,387
4/11/2016,55,T73,D100,754,471
4/11/2016,60,T84,D9,370,439
4/11/2016,103,T37,D4,551,446
4/11/2016,146,T45,D98,330,552
4/11/2016,133,T88,D17,774,440
4/11/2016,136,T41,D79,249,390
4/11/2016,98,T57,D32,515,345
4/11/2016,36,T34,D53,758,749
4/11/2016,84,T47,D93,205,521
4/11/2016,83,T56,D74,500,473
4/11/2016,71,T63,D7,276,495
4/11/2016,196,T9,D38,200,609
4/11/2016,24,T23,D65,330,553
4/11/2016,93,T74,D7,282,742
4/11/2016,33,T14,D5,298,491
4/11/2016,112,T68,D21,542,575
4/11/2016,32,T67,D52,397,687
4/11/2016,54,T75,D78,423,261
4/11/2016,187,T44,D61,308,769
4/11/2016,117,T24,D27,715,680
4/11/2016,34,T48,D95,508,575
4/11/2016,193,T25,D64,667,209
4/11/2016,112,T12,D36,732,787
4/11/2016,126,T33,D72,512,532
4/11/2016,39,T82,D21,708,700
4/11/2016,156,T11,D99,607,535
4/11/2016,147,T60,D99,474,229
4/11/2016,135,T92,D64,277,779
4/11/2016,138,T9,D16,680,674
4/11/2016,121,T46,D80,347,488
4/11/2016,99,T3,D71,488,512
4/11/2016,11,T84,D64,534,271
4/11/2016,79,T28,D76,717,384
4/11/2016,182,T99,D69,579,431
4/11/2016,138,T65,D74,490,335
4/11/2016,110,T96,D31,300,326
4/11/2016,131,T96,D87,496,275
4/11/2016,40,T2,D28,347,742
4/11/2016,40,T2,D84,671,323
4/11/2016,51,T24,D77,228,519
4/11/2016,20,T5,D19,705,737
4/11/2016,198,T69,D1,292,401
4/11/2016,70,T20,D52,631,628
4/11/2016,140,T6,D69,623,460
4/11/2016,24,T74,D31,231,544
4/11/2016,75,T62,D10,490,793
4/11/2016,185,T80,D67,680,332
4/11/2016,96,T97,D65,467,796
4/11/2016,139,T78,D1,427,713
4/11/2016,18,T18,D92,780,547
4/10/2016,48,T41,D59,708,754
4/10/2016,188,T87,D92,488,633
4/10/2016,107,T51,D32,457,730
4/10/2016,49,T39,D70,382,545
4/10/2016,165,T63,D76,216,284
4/10/2016,39,T91,D5,269,415
4/10/2016,76,T6,D80,659,367
4/10/2016,31,T93,D25,783,662
4/10/2016,109,T56,D56,437,683
4/10/2016,95,T31,D4,523,711
4/10/2016,19,T65,D41,575,330
4/10/2016,148,T5,D34,448,205
4/10/2016,112,T17,D6,645,278
4/10/2016,35,T81,D13,451,329
4/10/2016,7,T22,D25,265,791
4/10/2016,112,T15,D10,661,548
4/10/2016,116,T11,D94,221,395
4/10/2016,3,T90,D39,423,306
4/10/2016,31,T68,D21,775,290
4/10/2016,36,T92,D72,276,263
4/10/2016,77,T48,D44,680,328
4/10/2016,58,T62,D32,280,625
4/10/2016,190,T49,D45,515,659
4/10/2016,194,T8,D48,278,341
4/10/2016,159,T88,D33,456,446
4/10/2016,29,T15,D19,445,261
4/10/2016,14,T58,D29,720,654
4/10/2016,41,T65,D83,320,517
4/10/2016,146,T73,D92,544,589
4/10/2016,152,T48,D72,706,727
4/10/2016,64,T17,D43,706,515
4/10/2016,148,T93,D61,722,750
4/10/2016,170,T14,D41,443,492
4/10/2016,100,T80,D22,377,586
4/10/2016,27,T14,D84,387,395
4/10/2016,69,T79,D22,253,761
4/10/2016,116,T48,D16,429,578
4/10/2016,91,T78,D70,372,490
4/10/2016,127,T70,D90,789,537
4/10/2016,103,T20,D89,382,242
4/10/2016,199,T9,D61,349,646
4/10/2016,9,T87,D92,759,221
4/10/2016,115,T68,D7,733,293
4/10/2016,95,T94,D67,241,201
4/10/2016,126,T18,D35,679,463
4/10/2016,92,T53,D82,601,428
4/10/2016,56,T63,D65,613,367
4/10/2016,28,T91,D81,516,741
4/10/2016,142,T37,D1,339,523
4/10/2016,57,T84,D78,687,690
4/10/2016,167,T73,D90,502,715
4/10/2016,139,T37,D94,213,452
4/10/2016,184,T19,D27,644,375
4/10/2016,90,T49,D22,280,540
4/10/2016,86,T83,D58,725,460
4/10/2016,108,T63,D62,658,307
4/10/2016,142,T85,D53,800,688
4/10/2016,179,T92,D30,459,543
4/10/2016,138,T44,D42,567,219
4/10/2016,143,T38,D52,254,250
4/10/2016,110,T87,D59,567,722
4/10/2016,84,T44,D65,753,372
4/10/2016,12,T100,D11,217,480
4/10/2016,69,T10,D77,209,276
4/10/2016,10,T41,D93,338,698
4/10/2016,115,T93,D74,236,679
4/10/2016,2,T29,D66,574,745
4/10/2016,174,T88,D20,209,438
4/10/2016,137,T68,D25,655,543
4/10/2016,110,T7,D83,607,580
4/10/2016,159,T19,D3,403,629
4/10/2016,198,T87,D71,672,468
4/10/2016,73,T46,D33,632,415
4/10/2016,180,T80,D12,781,654
4/10/2016,70,T12,D13,799,440
4/10/2016,136,T23,D59,291,781
4/10/2016,43,T81,D24,612,467
4/10/2016,82,T91,D4,286,438
4/10/2016,192,T78,D28,795,475
4/10/2016,76,T57,D8,383,722
4/10/2016,150,T85,D14,426,655
4/10/2016,99,T97,D47,446,391
4/10/2016,29,T73,D73,585,208
4/10/2016,148,T77,D24,398,706
4/10/2016,141,T46,D54,454,439
4/10/2016,160,T93,D6,732,208
4/10/2016,22,T87,D49,558,385
4/10/2016,15,T11,D4,241,442
4/10/2016,132,T18,D45,629,282
4/10/2016,126,T77,D8,412,794
4/10/2016,29,T62,D54,542,367
4/10/2016,164,T83,D86,473,504
4/10/2016,57,T98,D36,663,371
4/10/2016,18,T14,D93,402,654
4/10/2016,166,T91,D63,428,495
4/10/2016,167,T50,D46,599,670
4/10/2016,69,T33,D8,277,764
4/10/2016,153,T13,D15,400,795
4/10/2016,195,T13,D13,751,446
4/10/2016,58,T23,D28,457,359
4/10/2016,176,T2,D17,421,489
4/10/2016,44,T84,D87,726,735
4/10/2016,169,T37,D93,652,619
4/10/2016,198,T28,D70,449,347
4/10/2016,196,T34,D47,402,324
4/10/2016,52,T67,D28,218,206
4/10/2016,94,T57,D32,654,579
4/10/2016,123,T8,D26,254,332
4/10/2016,123,T82,D57,643,591
4/10/2016,78,T23,D41,499,207
4/10/2016,173,T38,D73,542,458
4/10/2016,111,T84,D79,347,551
4/10/2016,190,T28,D97,790,533
4/10/2016,105,T25,D59,669,234
4/10/2016,110,T12,D94,660,411
4/10/2016,141,T51,D49,256,315
4/10/2016,43,T47,D7,363,375
4/10/2016,32,T41,D17,776,762
4/10/2016,115,T88,D78,377,246
4/10/2016,145,T29,D26,673,536
4/9/2016,144,T97,D38,701,365
4/9/2016,177,T21,D70,478,718
4/9/2016,87,T86,D43,694,543
4/9/2016,123,T65,D39,429,224
4/9/2016,168,T74,D62,693,395
4/9/2016,15,T21,D95,205,284
4/9/2016,199,T61,D89,425,696
4/9/2016,63,T47,D55,241,473
4/9/2016,175,T49,D96,799,466
4/9/2016,128,T73,D69,233,421
4/9/2016,116,T99,D23,768,438
4/9/2016,124,T35,D57,450,251
4/9/2016,126,T33,D31,759,701
4/9/2016,74,T100,D1,436,762
4/9/2016,114,T74,D82,612,508
4/9/2016,115,T34,D38,685,274
4/9/2016,36,T15,D71,431,329
4/9/2016,52,T86,D63,613,348
4/9/2016,8,T82,D29,721,281
4/9/2016,193,T98,D84,766,316
4/9/2016,115,T97,D85,437,496
4/9/2016,64,T63,D47,648,348
4/9/2016,162,T28,D71,632,288
4/9/2016,80,T7,D69,468,528
4/9/2016,113,T97,D79,378,753
4/9/2016,129,T2,D16,203,383
4/9/2016,146,T100,D55,745,449
4/9/2016,53,T6,D27,284,602
4/9/2016,85,T28,D80,337,262
4/9/2016,70,T85,D94,437,779
4/9/2016,196,T58,D39,460,218
4/9/2016,121,T27,D64,702,400
4/9/2016,4,T24,D95,750,538
4/9/2016,191,T14,D58,424,532
4/9/2016,25,T23,D56,203,262
4/9/2016,107,T41,D38,709,414
4/9/2016,39,T38,D31,323,580
4/9/2016,117,T79,D56,611,613
4/9/2016,42,T74,D34,710,500
4/9/2016,121,T48,D97,321,206
4/9/2016,81,T6,D96,741,388
4/9/2016,2,T49,D19,754,362
4/9/2016,49,T65,D67,416,416
4/9/2016,24,T99,D60,650,515
4/9/2016,122,T26,D92,421,612
4/9/2016,157,T73,D76,501,472
4/9/2016,6,T47,D3,475,248
4/9/2016,27,T8,D72,242,243
4/9/2016,107,T63,D82,562,598
4/9/2016,97,T91,D74,202,588
4/9/2016,99,T41,D30,279,543
4/9/2016,142,T100,D80,453,448
4/9/2016,15,T95,D85,747,281
4/9/2016,12,T38,D36,310,570
4/9/2016,200,T38,D42,439,218
4/9/2016,28,T6,D63,427,640
4/9/2016,50,T5,D55,224,681
4/9/2016,47,T72,D47,549,625
4/9/2016,141,T22,D96,251,258
4/9/2016,86,T64,D86,263,501
4/9/2016,139,T84,D38,385,698
4/9/2016,118,T83,D33,322,223
4/9/2016,122,T12,D51,538,604
4/9/2016,63,T30,D99,214,697
4/9/2016,53,T20,D34,571,585
4/9/2016,116,T98,D86,725,233
4/9/2016,191,T26,D48,286,337
4/9/2016,183,T38,D15,666,679
4/9/2016,193,T11,D73,664,605
4/9/2016,43,T37,D78,305,776
4/9/2016,147,T100,D34,656,270
4/9/2016,181,T34,D71,532,773
4/9/2016,162,T81,D58,625,749
4/9/2016,129,T46,D47,502,341
4/9/2016,27,T2,D24,201,640
4/9/2016,85,T5,D68,679,284
4/9/2016,54,T62,D72,754,547
4/9/2016,34,T39,D53,769,730
4/9/2016,68,T88,D31,237,385
4/9/2016,193,T11,D15,581,299
4/9/2016,164,T36,D44,311,678
4/9/2016,159,T60,D2,718,722
4/9/2016,190,T27,D4,764,673
4/9/2016,160,T21,D90,759,542
4/9/2016,17,T75,D8,516,479
4/9/2016,60,T14,D61,386,469
4/9/2016,93,T41,D17,273,249
4/9/2016,125,T21,D17,507,512
4/9/2016,175,T13,D82,649,286
4/9/2016,147,T18,D48,773,274
4/9/2016,140,T24,D81,635,214
4/9/2016,105,T48,D6,800,329
4/9/2016,110,T30,D2,421,399
4/9/2016,86,T63,D49,232,236
4/9/2016,62,T4,D82,320,329
4/9/2016,111,T93,D54,746,418
4/9/2016,170,T94,D81,794,461
4/9/2016,100,T72,D70,586,409
4/9/2016,83,T75,D35,635,488
4/9/2016,160,T92,D95,706,280
4/9/2016,54,T90,D95,555,244
4/9/2016,65,T27,D12,682,751
4/9/2016,125,T17,D84,451,729
4/9/2016,99,T33,D86,208,461
4/9/2016,16,T6,D83,769,711
4/9/2016,190,T32,D71,614,682
4/9/2016,11,T78,D99,372,623
4/9/2016,107,T69,D96,223,498
4/9/2016,23,T54,D78,294,200
4/9/2016,43,T94,D37,688,615
4/9/2016,106,T20,D45,721,500
4/9/2016,114,T40,D86,589,687
4/9/2016,153,T97,D53,365,293
4/9/2016,84,T69,D12,530,378
4/9/2016,103,T23,D39,330,572
4/9/2016,17,T75,D79,441,294
4/9/2016,80,T86,D74,450,200
4/9/2016,196,T19,D26,416,706
4/9/2016,97,T65,D96,280,548
4/9/2016,20,T31,D67,307,573
4/9/2016,79,T72,D96,264,606
4/9/2016,72,T22,D23,230,603
4/9/2016,194,T37,D98,503,308
4/9/2016,193,T100,D40,226,208
4/9/2016,176,T60,D64,609,715
4/9/2016,17,T87,D9,725,260
4/9/2016,132,T37,D81,385,245
4/9/2016,156,T4,D75,233,692
4/8/2016,188,T96,D93,297,557
4/8/2016,63,T100,D79,770,362
4/8/2016,38,T57,D65,323,557
4/8/2016,94,T20,D16,392,264
4/8/2016,37,T26,D67,589,378
4/8/2016,185,T88,D79,687,223
4/8/2016,52,T79,D69,793,431
4/8/2016,137,T98,D28,783,794
4/8/2016,5,T11,D41,504,531
4/8/2016,28,T47,D74,732,743
4/8/2016,85,T32,D63,687,419
4/8/2016,141,T68,D93,234,252
4/8/2016,131,T2,D79,327,775
4/8/2016,23,T16,D35,757,622
4/8/2016,104,T19,D46,505,331
4/8/2016,41,T66,D39,390,620
4/8/2016,65,T12,D54,533,418
4/8/2016,152,T24,D44,759,702
4/8/2016,97,T21,D85,578,408
4/8/2016,121,T26,D41,642,595
4/8/2016,118,T69,D56,642,542
4/8/2016,81,T67,D80,576,221
4/8/2016,185,T50,D45,265,309
4/8/2016,192,T34,D7,322,650
4/8/2016,112,T53,D58,246,623
4/8/2016,163,T15,D32,769,362
4/8/2016,151,T51,D8,284,708
4/8/2016,168,T44,D60,451,556
4/8/2016,46,T73,D45,202,354
4/8/2016,111,T31,D56,236,693
4/8/2016,1,T49,D76,575,552
4/8/2016,160,T51,D36,707,734
4/8/2016,96,T25,D53,313,527
4/8/2016,82,T30,D17,504,560
4/8/2016,57,T21,D99,210,205
4/8/2016,155,T35,D69,436,537
4/8/2016,73,T46,D20,655,335
4/8/2016,120,T63,D20,471,463
4/8/2016,9,T41,D29,763,332
4/8/2016,116,T93,D84,769,261
4/8/2016,76,T88,D78,744,338
4/8/2016,107,T62,D16,372,260
4/8/2016,40,T36,D56,615,719
4/8/2016,91,T50,D78,427,403
4/8/2016,177,T42,D27,479,520
4/8/2016,177,T78,D87,726,246
4/8/2016,199,T37,D52,677,639
4/8/2016,164,T68,D80,274,248
4/8/2016,143,T54,D78,652,544
4/8/2016,56,T60,D62,755,363
4/8/2016,2,T56,D67,450,462
4/8/2016,59,T69,D87,630,608
4/8/2016,117,T2,D19,523,328
4/8/2016,91,T9,D84,384,540
4/8/2016,193,T23,D34,215,275
4/8/2016,152,T68,D24,753,704
4/8/2016,67,T74,D9,540,701
4/8/2016,146,T50,D24,756,532
4/8/2016,67,T43,D56,412,352
4/8/2016,157,T26,D8,223,432
4/8/2016,82,T1,D94,571,425
4/8/2016,136,T83,D89,379,429
4/8/2016,160,T32,D38,410,444
4/8/2016,61,T8,D67,752,304
4/8/2016,122,T31,D42,737,243
4/8/2016,170,T66,D74,781,673
4/8/2016,56,T14,D81,213,530
4/8/2016,118,T71,D3,660,579
4/8/2016,112,T13,D88,289,673
4/8/2016,109,T18,D58,510,601
4/8/2016,116,T86,D2,696,246
4/8/2016,100,T63,D74,650,580
4/8/2016,66,T83,D18,213,444
4/8/2016,24,T87,D38,232,753
4/8/2016,162,T99,D10,773,777
4/8/2016,44,T51,D46,497,228
4/8/2016,54,T84,D64,746,671
4/8/2016,23,T75,D9,761,415
4/8/2016,90,T81,D47,699,366
4/8/2016,194,T98,D44,387,328
4/8/2016,85,T43,D95,400,517
4/8/2016,10,T32,D4,418,558
4/8/2016,127,T95,D64,460,350
4/8/2016,106,T4,D12,371,482
4/8/2016,149,T62,D77,697,522
4/8/2016,116,T34,D8,587,529
4/8/2016,118,T90,D61,354,588
4/8/2016,106,T14,D54,592,677
4/8/2016,180,T61,D27,285,637
4/8/2016,176,T50,D18,366,739
4/7/2016,100,T76,D72,306,484
4/7/2016,42,T93,D9,236,347
4/7/2016,64,T51,D80,632,409
4/7/2016,151,T36,D4,468,510
4/7/2016,159,T1,D3,529,394
4/7/2016,110,T27,D56,706,584
4/7/2016,157,T2,D19,330,587
4/7/2016,34,T77,D14,433,405
4/7/2016,181,T71,D34,686,502
4/7/2016,135,T46,D32,493,229
4/7/2016,169,T1,D10,285,316
4/7/2016,149,T26,D39,746,345
4/7/2016,104,T76,D11,474,511
4/7/2016,14,T49,D56,745,212
4/7/2016,116,T15,D18,629,331
4/7/2016,35,T49,D19,310,765
4/7/2016,82,T37,D16,602,234
4/7/2016,54,T13,D51,235,426
4/7/2016,7,T87,D17,796,299
4/7/2016,145,T33,D4,747,450
4/7/2016,100,T100,D92,644,766
4/7/2016,39,T70,D28,358,799
4/7/2016,47,T73,D99,524,234
4/7/2016,89,T37,D51,405,340
4/7/2016,125,T96,D44,710,329
4/7/2016,84,T3,D12,555,308
4/7/2016,51,T27,D9,613,755
4/7/2016,47,T34,D20,635,317
4/7/2016,179,T100,D59,273,455
4/7/2016,45,T100,D82,277,341
4/7/2016,88,T69,D94,561,581
4/7/2016,55,T17,D25,728,465
4/7/2016,18,T91,D65,210,670
4/7/2016,175,T95,D60,760,308
4/7/2016,114,T81,D92,720,592
4/7/2016,31,T12,D26,450,596
4/7/2016,105,T59,D51,361,759
4/7/2016,28,T65,D39,552,747
4/7/2016,100,T92,D43,740,682
4/7/2016,171,T10,D12,582,277
4/7/2016,47,T78,D22,787,384
4/7/2016,85,T9,D70,259,363
4/7/2016,128,T96,D31,663,744
4/7/2016,190,T14,D36,244,610
4/7/2016,79,T83,D12,515,432
4/7/2016,30,T20,D24,749,451
4/7/2016,161,T27,D34,385,496
4/7/2016,53,T1,D6,260,237
4/7/2016,45,T15,D10,315,202
4/7/2016,187,T7,D2,663,703
4/7/2016,165,T88,D83,318,658
4/7/2016,73,T50,D17,760,341
4/7/2016,106,T58,D89,556,544
4/7/2016,55,T19,D27,440,786
4/7/2016,26,T14,D88,256,752
4/7/2016,39,T33,D59,380,489
4/7/2016,61,T42,D58,568,733
4/7/2016,103,T29,D30,420,231
4/7/2016,173,T71,D73,553,469
4/7/2016,26,T54,D54,335,650
4/7/2016,142,T68,D52,638,334
4/7/2016,107,T82,D36,432,356
4/7/2016,183,T48,D48,398,780
4/7/2016,105,T94,D25,260,612
4/7/2016,152,T84,D97,708,538
4/7/2016,113,T98,D38,779,267
4/7/2016,105,T95,D16,774,727
4/7/2016,70,T48,D60,316,302
